Date,Open,High,Low,Close,Adj Close,Volume
2024-02-26,313.160004,323.313995,309.489990,321.029999,321.029999,3884900
2024-02-27,323.399994,329.089996,320.709991,321.209991,321.209991,2790400
2024-02-28,318.859985,321.690002,314.549988,320.940002,320.940002,2072600
2024-02-29,324.910004,328.980011,321.070007,324.149994,324.149994,3812100
2024-03-01,319.250000,319.720001,309.119995,314.600006,314.600006,5829300
2024-03-04,317.329987,317.989990,311.290009,313.809998,313.809998,4796600
2024-03-05,307.529999,308.500000,289.799988,297.559998,297.559998,13249300
2024-03-06,360.049988,365.000000,324.010010,329.570007,329.570007,23050900
2024-03-07,329.750000,331.850006,315.209991,329.679993,329.679993,9729500
2024-03-08,331.000000,341.739990,322.410004,322.850006,322.850006,6013600
2024-03-11,319.149994,323.500000,316.000000,317.369995,317.369995,3292000
2024-03-12,318.609985,333.809998,317.369995,329.269989,329.269989,4156500
2024-03-13,329.730011,334.825012,325.500000,332.170013,332.170013,2730900
2024-03-14,333.000000,337.779999,325.475006,328.589996,328.589996,2776800
2024-03-15,325.579987,327.390015,315.600006,315.649994,315.649994,4478500
2024-03-18,319.029999,322.369995,315.899994,321.059998,321.059998,2736600
2024-03-19,318.149994,321.480011,310.220001,320.859985,320.859985,2933600
2024-03-20,321.000000,328.470001,318.062988,326.869995,326.869995,2528800
2024-03-21,325.890015,333.230011,322.049988,329.459991,329.459991,3253400
2024-03-22,327.730011,328.390015,319.549988,327.579987,327.579987,2599700
2024-03-25,326.000000,329.250000,321.000000,324.760010,324.760010,1695200
2024-03-26,326.000000,332.500000,323.859985,330.010010,330.010010,2417700
2024-03-27,333.339996,333.839996,317.559998,322.250000,322.250000,3175600
2024-03-28,322.420013,327.649994,319.940002,320.589996,320.589996,2253100
2024-04-01,321.000000,321.989990,313.720001,319.589996,319.589996,1830900
2024-04-02,312.920013,319.709991,310.959991,319.549988,319.549988,2125300
2024-04-03,316.570007,323.549988,314.480011,320.040009,320.040009,2013400
2024-04-04,324.299988,325.989990,308.880005,309.190002,309.190002,2667000
2024-04-05,309.720001,317.500000,309.329987,315.500000,315.500000,1768200
2024-04-08,316.179993,316.640015,309.500000,313.730011,313.730011,1457300
2024-04-09,314.989990,316.000000,308.630005,310.769989,310.769989,1864700
2024-04-10,305.989990,315.080994,305.339996,312.529999,312.529999,1939000
2024-04-11,313.540009,317.904999,310.135010,317.799988,317.799988,1869000
2024-04-12,313.890015,314.869995,307.000000,309.049988,309.049988,2170100
2024-04-15,310.029999,312.000000,298.390015,299.500000,299.500000,2571600
2024-04-16,297.549988,301.649994,296.799988,299.149994,299.149994,1828300
2024-04-17,304.000000,304.799988,291.709991,293.690002,293.690002,2290300
2024-04-18,293.000000,297.500000,290.179993,294.100006,294.100006,2100000
2024-04-19,291.950012,292.730011,280.880005,282.640015,282.640015,3110200
2024-04-22,285.739990,291.290009,281.399994,289.149994,289.149994,2483400
2024-04-23,292.209991,302.809998,292.170013,299.649994,299.649994,2593000
2024-04-24,303.600006,304.820007,294.739990,297.619995,297.619995,1656200
2024-04-25,289.559998,299.850006,287.910004,298.019989,298.019989,2022100
2024-04-26,300.339996,305.779999,298.269989,304.070007,304.070007,2007800
2024-04-29,312.570007,313.863007,302.049988,304.040009,304.040009,1899600
2024-04-30,302.000000,303.065002,292.329987,292.540009,292.540009,1930200
2024-05-01,290.440002,302.500000,288.549988,295.440002,295.440002,2090800
2024-05-02,303.755005,307.940002,298.042999,303.540009,303.540009,3920500
2024-05-03,304.760010,311.549988,300.000000,310.209991,310.209991,4080800
2024-05-06,307.380005,317.899994,304.299988,317.809998,317.809998,2903500
2024-05-07,315.709991,321.515015,311.649994,312.549988,312.549988,3199000
2024-05-08,311.880005,319.230011,308.570007,313.760010,313.760010,2073100
2024-05-09,313.029999,318.250000,309.380005,317.940002,317.940002,2158400
2024-05-10,320.000000,327.500000,318.390015,320.760010,320.760010,2657400
2024-05-13,325.000000,325.000000,316.630005,319.179993,319.179993,1894400
2024-05-14,319.190002,330.790009,319.179993,329.549988,329.549988,2948700
2024-05-15,333.209991,344.369995,330.929993,343.119995,343.119995,3143200
2024-05-16,343.000000,344.079987,338.829987,339.059998,339.059998,2074700
2024-05-17,340.000000,346.279999,338.709991,345.929993,345.929993,2044900
2024-05-20,346.000000,349.589996,344.649994,348.750000,348.750000,2175000
2024-05-21,343.054993,351.649994,340.519989,349.320007,349.320007,2099300
2024-05-22,350.000000,352.940002,342.859985,345.420013,345.420013,1907500
2024-05-23,350.000000,350.410004,341.274994,342.350006,342.350006,1836000
