Date,Open,High,Low,Close,Adj Close,Volume
2023-06-28,174.059998,187.770004,174.059998,182.029999,182.029999,2957800
2023-06-29,183.380005,184.979996,175.699997,177.710007,177.710007,1982800
2023-06-30,184.300003,191.000000,183.570007,187.210007,187.210007,2574300
2023-07-03,191.039993,194.460007,188.779999,191.919998,191.919998,1040100
2023-07-05,190.339996,196.389999,190.070007,192.910004,192.910004,1701000
2023-07-06,186.720001,189.880005,181.500000,188.460007,188.460007,1832700
2023-07-07,189.369995,194.559998,186.100006,186.529999,186.529999,1839400
2023-07-10,185.330002,186.479996,174.725006,181.869995,181.869995,1986900
2023-07-11,181.979996,184.570007,177.679993,183.729996,183.729996,1434000
2023-07-12,191.149994,195.080002,187.440002,193.169998,193.169998,2519700
2023-07-13,200.000000,209.699997,199.360001,208.690002,208.690002,1790000
2023-07-14,210.110001,219.279999,204.201996,206.729996,206.729996,2076000
2023-07-17,210.000000,214.990005,207.100006,213.660004,213.660004,1482600
2023-07-18,213.539993,224.750000,206.699997,222.000000,222.000000,1956500
2023-07-19,227.240005,228.000000,218.710007,221.029999,221.029999,1957000
2023-07-20,209.059998,211.309998,188.000000,190.220001,190.220001,2634100
2023-07-21,195.119995,195.190002,183.440002,185.149994,185.149994,2289700
2023-07-24,185.800003,188.020004,180.470001,186.589996,186.589996,1569700
2023-07-25,189.470001,194.800003,188.639999,191.809998,191.809998,1763700
2023-07-26,191.300003,192.449997,182.330002,188.130005,188.130005,1650800
2023-07-27,201.309998,203.138000,184.770004,186.600006,186.600006,2370800
2023-07-28,194.000000,203.869995,192.270004,202.080002,202.080002,1838900
2023-07-31,203.610001,206.528000,201.199997,204.949997,204.949997,1239900
2023-08-01,202.110001,205.710007,198.589996,203.389999,203.389999,1142700
2023-08-02,196.979996,196.979996,177.089996,182.600006,182.600006,3893800
2023-08-03,177.880005,187.977997,177.880005,183.869995,183.869995,1818700
2023-08-04,193.899994,198.740005,186.160004,186.919998,186.919998,3136700
2023-08-07,189.869995,192.205002,183.770004,192.050003,192.050003,1271300
2023-08-08,184.869995,186.669998,177.580002,183.139999,183.139999,1489400
2023-08-09,183.990005,184.440002,169.190002,171.929993,171.929993,2216500
2023-08-10,175.279999,183.139999,170.160004,172.630005,172.630005,2823400
2023-08-11,167.660995,170.649994,163.731003,166.339996,166.339996,1818700
2023-08-14,163.309998,174.817993,161.029999,174.779999,174.779999,1715200
2023-08-15,174.119995,176.330002,167.850006,168.929993,168.929993,1468200
2023-08-16,167.410004,169.093994,160.199997,160.360001,160.360001,1574700
