Date,Open,High,Low,Close,Adj Close,Volume
2023-12-27,16561.779297,16673.570313,16439.259766,16624.839844,16624.839844,2228051300
2023-12-28,16678.230469,17086.099609,16644.429688,17043.529297,17043.529297,2301329400
2023-12-29,17066.519531,17095.119141,16950.900391,17047.390625,17047.390625,1570053000
2024-01-02,17135.119141,17135.119141,16725.279297,16788.550781,16788.550781,1720670000
2024-01-03,16624.919922,16657.509766,16564.800781,16646.410156,16646.410156,1577461700
2024-01-04,16673.400391,16673.400391,16516.330078,16645.980469,16645.980469,1789349300
2024-01-05,16573.119141,16745.730469,16455.570313,16535.330078,16535.330078,1936599800
2024-01-08,16581.859375,16592.060547,16144.559570,16224.450195,16224.450195,2227172000
2024-01-09,16256.099609,16414.789063,16190.019531,16190.019531,16190.019531,1937380500
2024-01-10,16143.969727,16247.299805,16036.419922,16097.280273,16097.280273,1788113700
2024-01-11,16154.169922,16459.919922,16106.830078,16302.040039,16302.040039,1970866100
2024-01-12,16216.969727,16393.740234,16185.910156,16244.580078,16244.580078,1534599800
2024-01-15,16258.280273,16334.709961,16104.500000,16216.330078,16216.330078,1368415400
2024-01-16,16030.250000,16197.040039,15834.410156,15865.919922,15865.919922,2139164100
2024-01-17,15764.379883,15764.379883,15194.940430,15276.900391,15276.900391,3952310100
2024-01-18,15301.190430,15463.690430,15183.959961,15391.790039,15391.790039,2815987000
2024-01-19,15404.690430,15540.750000,15207.990234,15308.690430,15308.690430,2242257300
2024-01-22,15349.049805,15362.910156,14794.160156,14961.179688,14961.179688,2812384600
2024-01-23,15038.330078,15516.799805,14994.370117,15353.980469,15353.980469,2804009700
2024-01-24,15602.450195,15975.110352,15412.099609,15899.870117,15899.870117,3597683500
2024-01-25,15989.940430,16254.929688,15828.929688,16211.959961,16211.959961,4096404800
2024-01-26,16158.719727,16240.959961,15888.040039,15952.230469,15952.230469,3314021500
2024-01-29,16046.250000,16258.450195,16012.589844,16077.240234,16077.240234,2923198800
2024-01-30,15896.660156,15896.660156,15654.969727,15703.450195,15703.450195,2565524400
2024-01-31,15652.049805,15744.040039,15411.660156,15485.070313,15485.070313,2594937800
2024-02-01,15522.860352,15805.059570,15434.820313,15566.209961,15566.209961,2454568100
2024-02-02,15756.120117,15912.610352,15435.849609,15533.559570,15533.559570,2475955200
2024-02-05,15336.860352,15669.769531,15336.860352,15510.009766,15510.009766,2313277300
2024-02-06,15541.230469,16154.049805,15541.230469,16136.870117,16136.870117,3314171100
2024-02-07,16282.389648,16408.150391,16035.429688,16081.889648,16081.889648,2809645100
2024-02-08,15988.620117,16093.519531,15821.860352,15878.070313,15878.070313,1940615100
2024-02-09,15709.299805,15754.009766,15531.030273,15746.580078,15746.580078,745466400
2024-02-14,15579.410156,15911.049805,15456.320313,15879.379883,15879.379883,1403032800
2024-02-15,15824.209961,16029.019531,15751.360352,15944.629883,15944.629883,1056900200
2024-02-16,16007.540039,16394.160156,15937.280273,16339.959961,16339.959961,1742961100
2024-02-19,16334.469727,16334.469727,16137.980469,16155.610352,16155.610352,2185820800
2024-02-20,16222.089844,16274.559570,16055.080078,16247.509766,16247.509766,2205924400
2024-02-21,16182.929688,16756.009766,16138.809570,16503.099609,16503.099609,3844263000
2024-02-22,16489.839844,16742.949219,16424.789063,16742.949219,16742.949219,2739673200
2024-02-23,16654.679688,16895.820313,16654.679688,16725.859375,16725.859375,2903143800
2024-02-26,16684.960938,16777.410156,16590.710938,16634.740234,16634.740234,2253549700
2024-02-27,16645.630859,16828.669922,16453.500000,16790.800781,16790.800781,2423909600
2024-02-28,16833.609375,16844.330078,16517.839844,16536.849609,16536.849609,2587721800
2024-02-29,16429.570313,16695.359375,16429.570313,16511.439453,16511.439453,3380825500
2024-03-01,16390.890625,16651.669922,16321.120117,16589.439453,16589.439453,2880658500
2024-03-04,16629.550781,16645.960938,16473.650391,16595.970703,16595.970703,2519017900
2024-03-05,16343.950195,16450.369141,16095.679688,16162.639648,16162.639648,2697889500
2024-03-06,16167.450195,16545.050781,16145.219727,16438.089844,16438.089844,2488701100
2024-03-07,16417.769531,16512.410156,16136.120117,16229.780273,16229.780273,2535414300
2024-03-08,16275.389648,16489.730469,16275.389648,16353.389648,16353.389648,2596313300
2024-03-11,16416.169922,16625.640625,16416.169922,16587.570313,16587.570313,2494031000
2024-03-12,16701.949219,17154.869141,16613.449219,17093.500000,17093.500000,4001753000
2024-03-13,17059.109375,17214.669922,17050.869141,17082.109375,17082.109375,2801014000
2024-03-14,17120.539063,17209.820313,16878.109375,16961.660156,16961.660156,2699096400
2024-03-15,16758.359375,16821.130859,16550.419922,16720.890625,16720.890625,3776694200
2024-03-18,16690.259766,16801.640625,16641.580078,16737.119141,16737.119141,2241776800
2024-03-19,16628.070313,16682.539063,16492.089844,16529.480469,16529.480469,2433582900
2024-03-20,16559.009766,16654.080078,16430.119141,16543.070313,16543.070313,2291672600
2024-03-21,16762.830078,16973.519531,16762.830078,16863.099609,16863.099609,3220967100
2024-03-22,16745.269531,16747.199219,16341.610352,16499.470703,16499.470703,3110411500
2024-03-25,16531.949219,16612.640625,16441.300781,16473.640625,16473.640625,2624506500
2024-03-26,16548.500000,16728.900391,16452.550781,16618.320313,16618.320313,2745765700
2024-03-27,16530.439453,16612.000000,16354.809570,16392.839844,16392.839844,2769889600
2024-03-28,16378.400391,16725.609375,16345.900391,16541.419922,16541.419922,3203421300
2024-04-02,16811.740234,17007.339844,16811.740234,16931.519531,16931.519531,3983141300
2024-04-03,16926.849609,16926.849609,16689.189453,16725.099609,16725.099609,2667363200
2024-04-05,16787.929688,16839.550781,16480.359375,16723.919922,16723.919922,1804396100
