Date,Open,High,Low,Close,Adj Close,Volume
2019-04-09,86.330002,86.419998,86.269997,86.320000,66.930885,19118700
2019-04-10,86.430000,86.699997,86.430000,86.699997,67.225525,16767000
2019-04-11,86.690002,86.860001,86.650002,86.830002,67.326302,20976100
2019-04-12,86.930000,87.010002,86.790001,86.959999,67.427116,17442800
2019-04-15,86.949997,86.949997,86.830002,86.900002,67.380585,13940000
2019-04-16,86.959999,86.970001,86.820000,86.849998,67.341843,11543800
2019-04-17,86.940002,86.940002,86.629997,86.639999,67.178993,11818600
2019-04-18,86.790001,86.790001,86.580002,86.680000,67.210014,15295500
2019-04-22,86.620003,86.660004,86.519997,86.529999,67.093666,24591400
2019-04-23,86.639999,86.879997,86.589996,86.830002,67.326302,15094100
2019-04-24,86.849998,86.849998,86.699997,86.709999,67.233253,11938800
2019-04-25,86.699997,86.809998,86.570000,86.750000,67.264282,14369000
2019-04-26,86.849998,86.980003,86.849998,86.970001,67.434875,11937200
2019-04-29,86.949997,87.000000,86.930000,86.930000,67.403831,7601200
2019-04-30,86.970001,87.040001,86.919998,86.940002,67.411613,11168100
2019-05-01,86.589996,86.870003,86.279999,86.290001,67.190475,24574300
2019-05-02,86.360001,86.480003,86.180000,86.349998,67.237206,24936600
2019-05-03,86.519997,86.599998,86.470001,86.570000,67.408501,18522700
2019-05-06,86.180000,86.620003,86.000000,86.610001,67.439621,18893700
2019-05-07,86.400002,86.449997,85.949997,86.089996,67.034737,30266300
2019-05-08,86.099998,86.300003,86.029999,86.120003,67.058090,27527500
2019-05-09,85.989998,86.059998,85.680000,85.989998,66.956871,30890400
2019-05-10,85.959999,86.309998,85.750000,86.230003,67.143745,33782400
2019-05-13,85.680000,85.769997,85.419998,85.440002,66.528610,34801600
2019-05-14,85.610001,85.830002,85.529999,85.629997,66.676552,18128500
2019-05-15,85.489998,85.760002,85.440002,85.709999,66.738838,19543700
2019-05-16,85.830002,86.110001,85.800003,85.970001,66.941299,29384100
2019-05-17,85.790001,86.099998,85.790001,85.940002,66.917931,27089400
2019-05-20,85.919998,86.080002,85.779999,85.860001,66.855644,15780000
2019-05-21,85.989998,86.150002,85.989998,86.129997,67.065887,15004300
2019-05-22,86.080002,86.199997,85.970001,86.199997,67.120384,14976200
2019-05-23,85.959999,85.989998,85.669998,85.769997,66.785576,18333400
2019-05-24,85.870003,85.970001,85.639999,85.650002,66.692162,17611600
