Date,Open,High,Low,Close,Adj Close,Volume
2019-04-12,24.740000,24.799999,24.700001,24.700001,24.700001,3750800
2019-04-15,24.580000,24.700001,24.559999,24.660000,24.660000,5583350
2019-04-16,24.420000,24.459999,24.379999,24.459999,24.459999,10811200
2019-04-17,24.420000,24.440001,24.379999,24.420000,24.420000,16574500
2019-04-18,24.400000,24.459999,24.360001,24.440001,24.440001,6246550
2019-04-22,24.420000,24.440001,24.379999,24.420000,24.420000,3344450
2019-04-23,24.280001,24.379999,24.240000,24.360001,24.360001,3936350
2019-04-24,24.360001,24.480000,24.340000,24.440001,24.440001,7614200
2019-04-25,24.480000,24.559999,24.440001,24.459999,24.459999,4587300
2019-04-26,24.600000,24.680000,24.580000,24.600000,24.600000,3913100
2019-04-29,24.520000,24.540001,24.459999,24.500000,24.500000,4074000
2019-04-30,24.520000,24.620001,24.520000,24.580000,24.580000,5098300
2019-05-01,24.559999,24.660000,24.360001,24.420000,24.420000,16327050
2019-05-02,24.280001,24.360001,24.240000,24.340000,24.340000,6405450
2019-05-03,24.440001,24.559999,24.420000,24.459999,24.459999,10347100
2019-05-06,24.480000,24.559999,24.440001,24.500000,24.500000,6065800
2019-05-07,24.540001,24.620001,24.520000,24.580000,24.580000,9520400
2019-05-08,24.660000,24.660000,24.480000,24.520000,24.520000,10521950
2019-05-09,24.520000,24.660000,24.500000,24.600000,24.600000,8526250
2019-05-10,24.620001,24.700001,24.600000,24.639999,24.639999,8693150
2019-05-13,24.860001,24.920000,24.799999,24.879999,24.879999,8982550
2019-05-14,24.879999,24.879999,24.760000,24.840000,24.840000,5107850
2019-05-15,24.879999,24.900000,24.780001,24.799999,24.799999,6594850
2019-05-16,24.760000,24.760000,24.580000,24.639999,24.639999,4960400
2019-05-17,24.559999,24.559999,24.400000,24.440001,24.440001,6074600
2019-05-20,24.440001,24.500000,24.420000,24.440001,24.440001,4217900
2019-05-21,24.340000,24.400000,24.299999,24.379999,24.379999,5545050
2019-05-22,24.400000,24.440001,24.360001,24.379999,24.379999,4063300
2019-05-23,24.500000,24.639999,24.480000,24.559999,24.559999,6957050
2019-05-24,24.559999,24.600000,24.520000,24.580000,24.580000,3603500
2019-05-28,24.500000,24.520000,24.420000,24.480000,24.480000,4637900
2019-05-29,24.540001,24.600000,24.480000,24.500000,24.500000,6650150
2019-05-30,24.520000,24.680000,24.500000,24.660000,24.660000,5567700
2019-05-31,24.860001,25.020000,24.799999,25.020000,25.020000,9095500
2019-06-03,25.180000,25.420000,25.120001,25.360001,25.360001,9939400
2019-06-04,25.340000,25.440001,25.260000,25.400000,25.400000,7908400
2019-06-05,25.600000,25.639999,25.400000,25.459999,25.459999,14939750
2019-06-06,25.540001,25.660000,25.520000,25.520000,25.520000,5606950
2019-06-07,25.719999,25.820000,25.620001,25.660000,25.660000,8377350
2019-06-10,25.440001,25.459999,25.360001,25.440001,25.440001,3019550
2019-06-11,25.360001,25.440001,25.320000,25.379999,25.379999,4547450
2019-06-12,25.459999,25.600000,25.459999,25.520000,25.520000,7717500
2019-06-13,25.559999,25.719999,25.540001,25.660000,25.660000,10985700
2019-06-14,25.799999,25.900000,25.600000,25.660000,25.660000,11107050
2019-06-17,25.700001,25.719999,25.580000,25.639999,25.639999,6176350
2019-06-18,25.860001,25.920000,25.639999,25.760000,25.760000,11959850
2019-06-19,25.719999,25.959999,25.700001,25.940001,25.940001,12792100
2019-06-20,26.440001,26.680000,26.400000,26.580000,26.580000,12525550
2019-06-21,26.740000,26.820000,26.580000,26.780001,26.780001,8682750
2019-06-24,26.940001,27.180000,26.879999,27.180000,27.180000,11448950
2019-06-25,27.379999,27.500000,27.020000,27.240000,27.240000,28642300
2019-06-26,27.000000,27.100000,26.860001,26.959999,26.959999,8570400
2019-06-27,26.860001,26.980000,26.820000,26.959999,26.959999,8532400
2019-06-28,27.000000,27.059999,26.900000,27.000000,27.000000,4490500
2019-07-01,26.700001,26.719999,26.480000,26.500000,26.500000,12051450
2019-07-02,26.639999,27.100000,26.600000,27.059999,27.059999,11961900
2019-07-03,27.100000,27.200001,27.020000,27.120001,27.120001,10464350
2019-07-05,26.660000,26.840000,26.540001,26.799999,26.799999,11607450
2019-07-08,26.820000,26.860001,26.639999,26.639999,26.639999,11112100
2019-07-09,26.680000,26.799999,26.600000,26.719999,26.719999,8298650
2019-07-10,26.959999,27.160000,26.860001,27.139999,27.139999,11648800
2019-07-11,27.100000,27.120001,26.860001,26.920000,26.920000,11606600
2019-07-12,26.959999,27.120001,26.900000,27.080000,27.080000,8476800
2019-07-15,27.020000,27.080000,26.940001,27.080000,27.080000,5652250
2019-07-16,27.020000,27.059999,26.799999,26.860001,26.860001,7299050
2019-07-17,26.959999,27.299999,26.959999,27.280001,27.280001,7763700
2019-07-18,27.160000,27.719999,27.100000,27.660000,27.660000,14460550
2019-07-19,27.480000,27.600000,27.180000,27.299999,27.299999,13978300
2019-07-22,27.299999,27.360001,27.240000,27.260000,27.260000,6796200
2019-07-23,27.280001,27.379999,27.100000,27.120001,27.120001,8126050
2019-07-24,27.320000,27.360001,27.180000,27.240000,27.240000,6428000
2019-07-25,27.240000,27.240000,27.000000,27.059999,27.059999,9353900
2019-07-26,27.240000,27.240000,27.100000,27.100000,27.100000,6651900
2019-07-29,27.219999,27.340000,27.080000,27.280001,27.280001,17288150
2019-07-30,27.360001,27.440001,27.260000,27.379999,27.379999,6887650
2019-07-31,27.400000,27.480000,26.980000,27.040001,27.040001,14763150
2019-08-01,26.860001,27.680000,26.840000,27.660000,27.660000,15850750
2019-08-02,27.480000,27.719999,27.459999,27.580000,27.580000,11954400
2019-08-05,27.980000,28.139999,27.799999,27.959999,27.959999,17616800
2019-08-06,28.059999,28.200001,28.000000,28.200001,28.200001,12304200
2019-08-07,28.660000,28.900000,28.580000,28.600000,28.600000,19868250
2019-08-08,28.600000,28.879999,28.559999,28.780001,28.780001,14350000
2019-08-09,28.680000,28.820000,28.600000,28.660000,28.660000,12311400
2019-08-12,28.760000,29.100000,28.740000,28.920000,28.920000,14431600
2019-08-13,29.059999,29.080000,28.299999,28.760000,28.760000,23409350
2019-08-14,29.000000,29.160000,28.820000,28.959999,28.959999,16692250
2019-08-15,29.020000,29.219999,28.940001,29.160000,29.160000,14433850
2019-08-16,28.980000,29.040001,28.780001,28.980000,28.980000,9699350
2019-08-19,28.680000,28.780001,28.580000,28.639999,28.639999,7354950
2019-08-20,28.780001,28.860001,28.700001,28.840000,28.840000,11368500
2019-08-21,28.740000,28.840000,28.700001,28.719999,28.719999,8359100
2019-08-22,28.680000,28.780001,28.639999,28.680000,28.680000,7513700
2019-08-23,28.780001,29.280001,28.740000,29.240000,29.240000,12884950
2019-08-26,29.299999,29.420000,29.200001,29.260000,29.260000,9588100
2019-08-27,29.299999,29.559999,29.280001,29.520000,29.520000,10358450
2019-08-28,29.500000,29.559999,29.340000,29.459999,29.459999,15349050
2019-08-29,29.520000,29.520000,29.080000,29.240000,29.240000,13812150
2019-08-30,29.200001,29.340000,29.020000,29.120001,29.120001,10829050
2019-09-03,29.420000,29.660000,29.360001,29.580000,29.580000,21020150
2019-09-04,29.540001,29.799999,29.520000,29.760000,29.760000,20538050
2019-09-05,29.440001,29.440001,28.799999,29.059999,29.059999,20058050
2019-09-06,29.139999,29.240000,28.780001,28.820000,28.820000,15551400
2019-09-09,28.879999,28.920000,28.639999,28.680000,28.680000,9272450
2019-09-10,28.660000,28.719999,28.440001,28.440001,28.440001,12148850
2019-09-11,28.459999,28.680000,28.459999,28.620001,28.620001,9149950
2019-09-12,28.959999,29.040001,28.639999,28.660000,28.660000,15671150
2019-09-13,28.760000,28.820000,28.420000,28.440001,28.440001,11184800
2019-09-16,28.740000,28.820000,28.600000,28.680000,28.680000,9364800
2019-09-17,28.780001,28.840000,28.660000,28.719999,28.719999,8036200
2019-09-18,28.799999,28.920000,28.360001,28.540001,28.540001,16190300
2019-09-19,28.740000,28.760000,28.620001,28.680000,28.680000,5551800
2019-09-20,28.740000,29.020000,28.700001,29.020000,29.020000,8688750
2019-09-23,29.040001,29.219999,29.020000,29.180000,29.180000,8120600
2019-09-24,29.059999,29.379999,29.000000,29.320000,29.320000,13104650
2019-09-25,29.240000,29.280001,28.700001,28.780001,28.780001,15540900
2019-09-26,28.840000,28.940001,28.719999,28.780001,28.780001,13550950
2019-09-27,28.480000,28.760000,28.440001,28.639999,28.639999,15410150
2019-09-30,28.379999,28.459999,28.000000,28.200001,28.200001,8840950
2019-10-01,28.020000,28.459999,27.959999,28.340000,28.340000,13539250
2019-10-02,28.580000,28.799999,28.500000,28.680000,28.680000,12940100
2019-10-03,28.680000,29.080000,28.680000,28.820000,28.820000,15455150
2019-10-04,28.719999,28.879999,28.660000,28.820000,28.820000,13178950
2019-10-07,28.660000,28.780001,28.459999,28.559999,28.559999,11403900
2019-10-08,28.840000,28.879999,28.639999,28.820000,28.820000,20742350
2019-10-09,28.860001,28.940001,28.740000,28.840000,28.840000,8660200
2019-10-10,28.740000,28.740000,28.520000,28.580000,28.580000,9252850
2019-10-11,28.400000,28.440001,28.200001,28.420000,28.420000,15835400
2019-10-14,28.520000,28.580000,28.480000,28.520000,28.520000,3216650
2019-10-15,28.459999,28.480000,28.260000,28.360001,28.360001,8875000
2019-10-16,28.459999,28.520000,28.340000,28.500000,28.500000,6483600
2019-10-17,28.500000,28.639999,28.500000,28.540001,28.540001,5100950
2019-10-18,28.520000,28.559999,28.480000,28.500000,28.500000,3951450
2019-10-21,28.540001,28.580000,28.340000,28.360001,28.360001,3794800
2019-10-22,28.440001,28.480000,28.360001,28.459999,28.459999,3648900
2019-10-23,28.520000,28.620001,28.520000,28.540001,28.540001,5371050
2019-10-24,28.620001,28.760000,28.600000,28.740000,28.740000,6394400
2019-10-25,29.000000,29.000000,28.700001,28.799999,28.799999,8111550
2019-10-28,28.680000,28.680000,28.500000,28.540001,28.540001,6869950
2019-10-29,28.420000,28.540001,28.379999,28.440001,28.440001,6892950
2019-10-30,28.520000,28.639999,28.320000,28.639999,28.639999,9662150
2019-10-31,28.820000,28.959999,28.799999,28.920000,28.920000,8652700
2019-11-01,28.879999,29.000000,28.820000,28.920000,28.920000,8842200
2019-11-04,28.879999,28.920000,28.760000,28.860001,28.860001,8004650
2019-11-05,28.559999,28.600000,28.280001,28.379999,28.379999,10268050
2019-11-06,28.440001,28.580000,28.400000,28.520000,28.520000,7631750
2019-11-07,28.420000,28.459999,27.940001,28.059999,28.059999,12780550
2019-11-08,27.940001,28.080000,27.879999,27.900000,27.900000,7483450
2019-11-11,27.920000,27.980000,27.680000,27.799999,27.799999,7772050
2019-11-12,27.820000,27.920000,27.639999,27.900000,27.900000,8859050
2019-11-13,27.980000,28.059999,27.920000,28.000000,28.000000,8853850
2019-11-14,28.100000,28.200001,28.000000,28.120001,28.120001,5942450
2019-11-15,28.020000,28.100000,28.000000,28.059999,28.059999,4568650
2019-11-18,28.100000,28.180000,28.059999,28.160000,28.160000,5683250
2019-11-19,28.020000,28.200001,28.020000,28.160000,28.160000,4444500
2019-11-20,28.120001,28.219999,28.020000,28.160000,28.160000,9433550
2019-11-21,28.100000,28.120001,27.959999,28.000000,28.000000,6772750
2019-11-22,28.080000,28.100000,27.940001,27.959999,27.959999,6842200
2019-11-25,27.879999,27.920000,27.799999,27.820000,27.820000,5670450
2019-11-26,27.799999,27.980000,27.719999,27.959999,27.959999,5279050
2019-11-27,27.820000,27.860001,27.760000,27.820000,27.820000,4745150
2019-11-29,27.820000,28.040001,27.799999,27.959999,27.959999,4400300
2019-12-02,27.860001,28.020000,27.860001,27.959999,27.959999,12990550
2019-12-03,28.240000,28.340000,28.200001,28.240000,28.240000,8736100
2019-12-04,28.260000,28.260000,28.120001,28.180000,28.180000,14236550
2019-12-05,28.180000,28.299999,28.160000,28.219999,28.219999,7489750
2019-12-06,27.980000,27.980000,27.879999,27.920000,27.920000,10973750
2019-12-09,27.980000,27.980000,27.900000,27.940001,27.940001,4782050
2019-12-10,28.059999,28.080000,27.959999,28.000000,28.000000,4232250
2019-12-11,28.059999,28.280001,28.040001,28.219999,28.219999,7160050
2019-12-12,28.379999,28.400000,28.000000,28.100000,28.100000,11945450
2019-12-13,28.120001,28.260000,28.020000,28.240000,28.240000,6925300
2019-12-16,28.240000,28.299999,28.180000,28.240000,28.240000,4776000
2019-12-17,28.219999,28.260000,28.180000,28.200001,28.200001,11989600
2019-12-18,28.180000,28.260000,28.160000,28.200001,28.200001,7531150
2019-12-19,28.200001,28.320000,28.200001,28.260000,28.260000,6139450
2019-12-20,28.280001,28.299999,28.200001,28.240000,28.240000,3114850
2019-12-23,28.320000,28.420000,28.320000,28.400000,28.400000,3849800
2019-12-24,28.500000,28.680000,28.500000,28.660000,28.660000,2714500
2019-12-26,28.820000,28.920000,28.799999,28.900000,28.900000,3568150
2019-12-27,28.879999,28.980000,28.860001,28.879999,28.879999,3541550
2019-12-30,28.940001,28.980000,28.920000,28.980000,28.980000,6632550
2019-12-31,29.100000,29.160000,28.980000,29.000000,29.000000,7148950
2020-01-02,29.200001,29.280001,29.120001,29.219999,29.219999,18539150
2020-01-03,29.600000,29.700001,29.520000,29.620001,29.620001,9172600
2020-01-06,30.139999,30.139999,29.820000,29.920000,29.920000,15387150
2020-01-07,29.959999,30.080000,29.940001,30.040001,30.040001,10537000
2020-01-08,30.160000,30.180000,29.660000,29.820000,29.820000,17847550
2020-01-09,29.639999,29.719999,29.520000,29.639999,29.639999,8057750
2020-01-10,29.700001,29.840000,29.660000,29.840000,29.840000,8781150
2020-01-13,29.700001,29.719999,29.580000,29.600000,29.600000,5791900
2020-01-14,29.500000,29.600000,29.459999,29.559999,29.559999,8079900
2020-01-15,29.700001,29.780001,29.600000,29.760000,29.760000,8530200
2020-01-16,29.700001,29.740000,29.580000,29.700001,29.700001,7726750
2020-01-17,29.760000,29.840000,29.700001,29.780001,29.780001,5195600
2020-01-21,29.600000,29.820000,29.540001,29.799999,29.799999,8173200
2020-01-22,29.780001,29.799999,29.719999,29.799999,29.799999,7501550
2020-01-23,29.780001,29.980000,29.760000,29.879999,29.879999,8426200
2020-01-24,29.820000,30.120001,29.820000,30.040001,30.040001,10429000
2020-01-27,30.299999,30.320000,30.139999,30.260000,30.260000,7526050
2020-01-28,30.120001,30.160000,29.940001,29.980000,29.980000,7759000
2020-01-29,30.000000,30.160000,29.959999,30.120001,30.120001,10552750
2020-01-30,30.200001,30.320000,30.040001,30.139999,30.139999,13551750
2020-01-31,30.219999,30.379999,30.200001,30.340000,30.340000,14083750
2020-02-03,30.160000,30.340000,30.000000,30.120001,30.120001,11003200
2020-02-04,29.840000,29.860001,29.600000,29.719999,29.719999,10884550
2020-02-05,29.700001,29.799999,29.680000,29.760000,29.760000,8934550
2020-02-06,29.879999,29.980000,29.840000,29.940001,29.940001,7569850
2020-02-07,30.020000,30.080000,29.920000,30.000000,30.000000,7035800
2020-02-10,30.100000,30.139999,30.040001,30.059999,30.059999,6318800
2020-02-11,30.059999,30.080000,29.860001,29.959999,29.959999,8962200
2020-02-12,29.940001,30.020000,29.879999,29.940001,29.940001,6644850
2020-02-13,30.100000,30.180000,30.040001,30.139999,30.139999,11036150
2020-02-14,30.200001,30.280001,30.180000,30.260000,30.260000,5490800
2020-02-18,30.440001,30.680000,30.340000,30.639999,30.639999,9514350
2020-02-19,30.660000,30.820000,30.620001,30.820000,30.820000,10509800
2020-02-20,30.860001,31.040001,30.840000,30.959999,30.959999,8151750
2020-02-21,31.360001,31.520000,31.299999,31.420000,31.420000,12641400
2020-02-24,32.139999,32.180000,31.540001,31.700001,31.700001,24425200
2020-02-25,31.500000,31.700001,31.040001,31.120001,31.120001,26278400
2020-02-26,31.240000,31.540001,31.040001,31.260000,31.260000,20814000
2020-02-27,31.580000,31.740000,31.240000,31.240000,31.240000,22709650
2020-02-28,31.020000,31.020000,29.860001,30.139999,30.139999,31490500
2020-03-02,30.440001,30.600000,30.260000,30.299999,30.299999,17719450
2020-03-03,30.639999,31.520000,30.600000,31.240000,31.240000,27915000
2020-03-04,31.360001,31.480000,31.200001,31.320000,31.320000,14770500
2020-03-05,31.660000,32.000000,31.620001,31.980000,31.980000,14313200
2020-03-06,32.160000,32.340000,31.379999,32.000000,32.000000,17822850
2020-03-09,32.180000,32.299999,31.760000,32.080002,32.080002,19309750
