Date,Open,High,Low,Close,Adj Close,Volume
2024-02-28,595.789978,598.169983,590.010010,596.479980,596.479980,2605200
2024-02-29,604.250000,604.520020,595.159973,602.919983,602.919983,3572100
2024-03-01,599.809998,620.280029,599.500000,619.340027,619.340027,4264200
2024-03-04,621.559998,624.419983,615.080017,615.830017,615.830017,3020300
2024-03-05,610.099976,610.909973,592.000000,598.500000,598.500000,3849600
2024-03-06,602.989990,607.929993,593.559998,597.690002,597.690002,2469600
2024-03-07,599.340027,610.530029,595.900024,608.510010,608.510010,2742800
2024-03-08,608.270020,616.090027,600.840027,604.820007,604.820007,2774600
2024-03-11,608.080017,611.000000,600.369995,600.929993,600.929993,2500900
2024-03-12,600.210022,615.299988,596.270020,611.080017,611.080017,2821600
2024-03-13,613.369995,614.849976,607.210022,609.450012,609.450012,2192100
2024-03-14,615.000000,620.799988,607.349976,613.010010,613.010010,3120500
2024-03-15,622.919983,622.919983,603.820007,605.880005,605.880005,6670900
2024-03-18,613.559998,627.409973,610.450012,618.390015,618.390015,3344200
2024-03-19,615.619995,621.280029,608.000000,620.739990,620.739990,2142600
2024-03-20,619.950012,629.510010,618.340027,627.690002,627.690002,2639500
2024-03-21,630.650024,634.359985,622.330017,622.710022,622.710022,2507700
2024-03-22,624.159973,629.049988,621.000000,628.010010,628.010010,2134100
2024-03-25,627.900024,630.460022,623.159973,627.460022,627.460022,1803300
2024-03-26,625.200012,634.390015,619.179993,629.239990,629.239990,2804500
2024-03-27,629.010010,631.349976,610.729980,613.530029,613.530029,2628300
2024-03-28,614.989990,615.000000,601.590027,607.330017,607.330017,3708800
2024-04-01,608.000000,615.109985,605.570007,614.309998,614.309998,2115900
2024-04-02,611.000000,615.030029,605.510010,614.210022,614.210022,2029200
2024-04-03,612.750000,630.409973,611.500000,630.080017,630.080017,2931200
2024-04-04,633.210022,638.000000,616.580017,617.140015,617.140015,3064300
2024-04-05,624.919983,637.909973,622.710022,636.179993,636.179993,3372800
2024-04-08,636.390015,639.000000,628.109985,628.409973,628.409973,2145700
2024-04-09,631.989990,631.989990,615.630005,618.200012,618.200012,2146600
2024-04-10,610.969971,620.140015,609.340027,618.580017,618.580017,2806200
2024-04-11,624.419983,631.659973,617.239990,628.780029,628.780029,2662700
2024-04-12,628.229980,633.119995,618.919983,622.830017,622.830017,2956500
2024-04-15,630.169983,630.169983,603.869995,607.150024,607.150024,3085400
2024-04-16,607.500000,622.450012,607.500000,617.520020,617.520020,3519100
2024-04-17,620.969971,620.969971,607.710022,613.690002,613.690002,3312200
2024-04-18,612.099976,621.330017,605.429993,610.559998,610.559998,8468400
2024-04-19,567.880005,579.000000,552.159973,555.039978,555.039978,16425000
2024-04-22,550.659973,558.609985,542.010010,554.599976,554.599976,8597700
2024-04-23,556.489990,579.210022,555.280029,577.750000,577.750000,4975500
2024-04-24,574.309998,576.909973,551.299988,555.119995,555.119995,5355300
2024-04-25,549.460022,566.539978,545.710022,564.799988,564.799988,3807100
2024-04-26,558.210022,562.919983,553.190002,561.229980,561.229980,4332600
2024-04-29,559.179993,559.640015,554.239990,559.489990,559.489990,2508900
2024-04-30,560.000000,560.000000,549.380005,550.640015,550.640015,3361500
2024-05-01,547.840027,560.390015,544.250000,551.710022,551.710022,3473200
2024-05-02,556.020020,565.460022,555.590027,565.150024,565.150024,3068200
2024-05-03,566.000000,580.260010,565.159973,579.340027,579.340027,3307500
2024-05-06,581.820007,597.340027,580.250000,596.969971,596.969971,3686300
2024-05-07,596.280029,606.049988,591.320007,606.000000,606.000000,3614100
2024-05-08,601.630005,618.219971,601.630005,609.469971,609.469971,3093900
2024-05-09,614.400024,615.719971,605.750000,612.090027,612.090027,2065400
2024-05-10,619.000000,623.979980,605.059998,610.869995,610.869995,2653600
2024-05-13,614.299988,618.219971,606.830017,616.590027,616.590027,2086200
2024-05-14,615.169983,621.479980,608.400024,613.659973,613.659973,2792400
2024-05-15,618.570007,624.099976,609.099976,613.520020,613.520020,5670600
2024-05-16,615.750000,618.340027,609.090027,610.520020,610.520020,3056400
2024-05-17,617.000000,625.789978,614.710022,621.099976,621.099976,3782700
2024-05-20,620.400024,644.369995,619.520020,640.820007,640.820007,3857900
2024-05-21,636.760010,650.880005,634.219971,650.609985,650.609985,2920200
2024-05-22,647.140015,649.250000,638.119995,640.469971,640.469971,2176200
2024-05-23,642.340027,642.710022,630.000000,635.669983,635.669983,2313900
2024-05-24,639.400024,652.000000,637.599976,646.750000,646.750000,2613300
