Date,Open,High,Low,Close,Adj Close,Volume
2024-02-28,126.500000,127.860001,124.830002,125.010002,125.010002,3994900
2024-02-29,126.650002,128.800003,124.099998,124.540001,124.540001,4677900
2024-03-01,126.900002,129.080002,126.349998,126.849998,126.849998,4479100
2024-03-04,126.849998,126.900002,121.129997,122.120003,122.120003,6386900
2024-03-05,122.050003,122.669998,119.010002,121.330002,121.330002,5291800
2024-03-06,122.500000,122.870003,116.370003,116.639999,116.639999,11791400
2024-03-07,115.790001,118.089996,115.089996,117.139999,117.139999,6558100
2024-03-08,115.970001,116.059998,108.870003,110.339996,110.339996,15199500
2024-03-11,114.209999,115.650002,111.680000,111.889999,111.889999,11018000
2024-03-12,115.089996,119.099998,115.000000,118.160004,118.160004,10782800
2024-03-13,122.239998,127.849998,121.639999,122.360001,122.360001,12512700
2024-03-14,123.239998,123.720001,119.639999,123.199997,123.199997,8818600
2024-03-15,124.730003,125.400002,122.379997,123.739998,123.739998,10534100
2024-03-18,126.000000,130.779999,126.000000,128.710007,128.710007,10711300
2024-03-19,128.199997,128.500000,124.260002,127.680000,127.680000,10253000
2024-03-20,147.089996,148.300003,127.639999,132.169998,132.169998,45616100
2024-03-21,129.899994,131.899994,121.370003,122.300003,122.300003,19340900
2024-03-22,122.000000,127.570000,120.250000,122.989998,122.989998,12427800
2024-03-25,123.500000,124.059998,118.529999,119.870003,119.870003,12844900
2024-03-26,115.709999,120.190002,113.839996,120.099998,120.099998,9556000
2024-03-27,116.209999,118.230003,115.430000,116.660004,116.660004,8372600
2024-03-28,115.440002,118.000000,114.800003,116.250000,116.250000,6942400
2024-04-01,117.900002,121.360001,117.230003,119.160004,119.160004,6163300
2024-04-02,119.129997,119.169998,116.570000,118.239998,118.239998,4791600
2024-04-03,117.510002,119.889999,117.059998,119.519997,119.519997,3669000
2024-04-04,120.099998,120.730003,117.400002,117.470001,117.470001,4876900
2024-04-05,117.900002,118.129997,116.169998,117.870003,117.870003,8612100
2024-04-08,114.720001,117.809998,113.839996,117.620003,117.620003,4571700
2024-04-09,118.000000,121.139999,118.000000,121.099998,121.099998,6069300
2024-04-10,122.000000,122.669998,118.260002,119.699997,119.699997,5325700
2024-04-11,120.540001,121.680000,118.849998,121.129997,121.129997,4386200
2024-04-12,119.300003,119.379997,115.269997,115.500000,115.500000,8903600
2024-04-15,116.879997,116.879997,113.209999,114.290001,114.290001,6896800
2024-04-16,112.620003,115.449997,111.860001,113.519997,113.519997,5151500
2024-04-17,114.070000,114.889999,112.599998,113.430000,113.430000,4628700
2024-04-18,114.000000,116.150002,113.660004,113.699997,113.699997,5136400
2024-04-19,112.989998,113.570000,110.650002,113.489998,113.489998,9388400
2024-04-22,114.050003,124.419998,113.360001,124.139999,124.139999,15018200
2024-04-23,125.379997,129.619995,125.029999,128.020004,128.020004,15521500
2024-04-24,128.339996,130.289993,126.070000,127.550003,127.550003,7222900
2024-04-25,124.900002,126.180000,124.059998,125.790001,125.790001,7765000
2024-04-26,129.360001,130.020004,124.860001,129.309998,129.309998,11547600
2024-04-29,128.529999,129.789993,125.330002,126.820000,126.820000,7217600
2024-04-30,127.440002,127.480003,124.529999,125.180000,125.180000,7345800
2024-05-01,125.089996,126.750000,122.559998,124.489998,124.489998,4560500
2024-05-02,128.970001,139.750000,128.699997,137.539993,137.539993,21585700
2024-05-03,137.539993,140.210007,136.559998,140.179993,140.179993,11575700
2024-05-06,141.649994,142.320007,137.000000,138.639999,138.639999,7978200
2024-05-07,136.119995,138.919998,135.399994,137.649994,137.649994,5092300
2024-05-08,136.179993,140.270004,135.990005,139.160004,139.160004,5431700
2024-05-09,140.899994,141.460007,136.139999,136.380005,136.380005,5784100
2024-05-10,138.809998,140.250000,136.149994,136.270004,136.270004,4231100
2024-05-13,139.410004,143.000000,137.770004,140.520004,140.520004,9728300
2024-05-14,138.509995,139.110001,136.800003,138.690002,138.690002,6574000
2024-05-15,140.679993,141.490005,137.729996,141.300003,141.300003,4941500
2024-05-16,141.750000,144.000000,140.839996,143.380005,143.380005,9881400
2024-05-17,144.759995,149.419998,143.190002,146.190002,146.190002,16060800
2024-05-20,147.649994,148.639999,145.270004,146.770004,146.770004,13945100
2024-05-21,144.679993,148.490005,144.309998,145.449997,145.449997,11746400
2024-05-22,150.259995,156.500000,144.119995,147.089996,147.089996,29565300
2024-05-23,150.000000,160.000000,149.979996,153.630005,153.630005,21406700
2024-05-24,158.889999,164.690002,157.460007,157.570007,157.570007,19104500
