Date,Open,High,Low,Close,Adj Close,Volume
2023-12-01,90.269997,91.209999,89.849998,91.089996,90.168610,1660300
2023-12-04,90.260002,91.230003,90.209999,91.010002,90.089424,3120100
2023-12-05,90.739998,91.769997,90.739998,91.230003,90.307198,1134300
2023-12-06,91.779999,92.550003,91.050003,91.089996,90.168610,825200
2023-12-07,91.239998,91.540001,90.709999,91.419998,90.495270,609800
2023-12-08,91.550003,92.470001,91.430000,92.180000,91.247589,560600
2023-12-11,92.110001,92.540001,91.769997,92.459999,91.524750,514600
2023-12-12,92.470001,92.470001,91.779999,92.349998,91.415863,595200
2023-12-13,92.709999,95.339996,91.989998,95.290001,94.326126,1077700
2023-12-14,95.949997,97.790001,95.879997,97.610001,96.622658,1416100
2023-12-15,97.849998,98.610001,97.540001,98.160004,97.167099,1802300
2023-12-18,98.730003,99.360001,98.430000,98.860001,97.860016,1299800
2023-12-19,99.309998,100.190002,99.230003,100.029999,99.018181,1194400
2023-12-20,99.970001,100.839996,98.970001,98.970001,97.968903,971900
2023-12-21,99.680000,100.500000,99.680000,100.180000,99.166664,1015200
2023-12-22,100.629997,101.220001,100.459999,100.779999,99.760597,779600
2023-12-26,100.980003,101.949997,100.910004,101.949997,100.918755,414200
2023-12-27,101.440002,102.070000,101.320000,101.599998,100.572296,739400
2023-12-28,101.430000,101.809998,101.110001,101.330002,100.305031,609800
2023-12-29,101.190002,101.790001,100.970001,101.129997,100.107056,428400
2024-01-02,100.050003,100.800003,99.860001,100.489998,99.473526,703400
2024-01-03,100.000000,100.300003,99.360001,100.010002,98.998383,682500
2024-01-04,100.000000,101.070000,99.959999,100.169998,99.156761,1614100
2024-01-05,100.260002,101.360001,100.029999,100.750000,99.730896,1213200
2024-01-08,100.580002,101.400002,100.190002,101.309998,100.285233,1105000
2024-01-09,100.519997,101.330002,100.089996,100.989998,99.968468,1757200
2024-01-10,101.029999,101.309998,100.010002,100.650002,99.631912,1410800
2024-01-11,100.239998,100.620003,98.809998,99.550003,98.543037,841000
2024-01-12,100.070000,100.400002,98.550003,98.559998,97.563049,705700
2024-01-16,97.809998,98.400002,97.430000,98.349998,97.355171,703100
2024-01-17,97.510002,97.959999,96.690002,97.480003,96.493980,585000
2024-01-18,98.099998,98.519997,97.750000,98.169998,97.176994,555900
2024-01-19,98.480003,99.820000,97.650002,99.620003,98.612335,691200
2024-01-22,99.620003,99.849998,98.580002,98.949997,97.949104,2630300
2024-01-23,98.949997,99.510002,98.809998,99.269997,98.265869,2198100
2024-01-24,98.889999,99.250000,97.599998,97.830002,96.840439,2970300
