Date,Open,High,Low,Close,Adj Close,Volume
2023-06-06,3.710000,3.830000,3.675000,3.750000,3.750000,448500
2023-06-07,3.810000,3.860000,3.405000,3.650000,3.650000,784400
2023-06-08,3.650000,3.730000,3.520000,3.540000,3.540000,394900
2023-06-09,3.530000,3.590000,3.385000,3.420000,3.420000,424100
2023-06-12,3.440000,3.590000,3.400000,3.490000,3.490000,382900
2023-06-13,3.510000,3.555000,3.420000,3.420000,3.420000,380500
2023-06-14,3.450000,3.490000,3.250000,3.390000,3.390000,389200
2023-06-15,3.380000,3.420000,3.289000,3.360000,3.360000,349000
2023-06-16,3.400000,3.450000,3.300000,3.350000,3.350000,328900
2023-06-20,3.330000,3.340000,3.160000,3.220000,3.220000,337100
2023-06-21,3.200000,3.250000,3.100000,3.120000,3.120000,315200
2023-06-22,3.110000,3.155000,2.980000,3.120000,3.120000,326000
2023-06-23,3.060000,3.390000,3.000000,3.210000,3.210000,2020000
2023-06-26,3.200000,3.392000,3.180000,3.190000,3.190000,650100
2023-06-27,3.210000,3.335000,3.170000,3.290000,3.290000,267200
2023-06-28,3.270000,3.470000,3.270000,3.460000,3.460000,228500
2023-06-29,3.450000,3.810000,3.450000,3.800000,3.800000,744700
2023-06-30,3.800000,3.885000,3.705000,3.710000,3.710000,342900
2023-07-03,3.700000,3.845000,3.670000,3.830000,3.830000,236100
2023-07-05,3.800000,3.815000,3.580000,3.590000,3.590000,250800
2023-07-06,3.640000,3.640000,3.370000,3.430000,3.430000,315900
2023-07-07,3.470000,3.648000,3.470000,3.550000,3.550000,396600
2023-07-10,3.540000,3.630000,3.520000,3.620000,3.620000,375000
2023-07-11,3.650000,3.820000,3.610000,3.790000,3.790000,410600
2023-07-12,3.930000,4.400000,3.825000,4.390000,4.390000,1018300
2023-07-13,4.390000,4.620000,4.290000,4.560000,4.560000,647200
2023-07-14,4.200000,4.740000,3.930000,4.240000,4.240000,943000
2023-07-17,4.220000,4.290000,4.015000,4.230000,4.230000,423300
2023-07-18,4.220000,4.420000,4.030000,4.130000,4.130000,335200
2023-07-19,4.110000,4.240000,4.070000,4.180000,4.180000,297000
2023-07-20,4.180000,4.230000,4.100000,4.200000,4.200000,229100
2023-07-21,4.230000,4.330000,4.090000,4.250000,4.250000,320400
2023-07-24,4.250000,4.290000,3.910000,4.000000,4.000000,332300
2023-07-25,3.970000,4.045000,3.820000,3.970000,3.970000,364300
2023-07-26,3.960000,4.220000,3.960000,4.050000,4.050000,305300
2023-07-27,4.110000,4.160000,3.940000,3.970000,3.970000,472300
2023-07-28,4.030000,4.050000,3.930000,3.990000,3.990000,222400
2023-07-31,3.990000,4.055000,3.895000,3.940000,3.940000,279100
2023-08-01,3.900000,3.940000,3.770000,3.920000,3.920000,222300
2023-08-02,3.850000,3.860000,3.775000,3.810000,3.810000,267500
2023-08-03,3.790000,3.910000,3.760000,3.800000,3.800000,445500
2023-08-04,3.890000,3.900000,3.770000,3.840000,3.840000,644000
2023-08-07,3.860000,3.880000,3.760000,3.810000,3.810000,512700
2023-08-08,4.150000,4.770000,3.970000,4.450000,4.450000,2964500
2023-08-09,4.250000,4.560000,4.029000,4.340000,4.340000,844200
2023-08-10,4.380000,4.450000,3.950000,4.000000,4.000000,577700
2023-08-11,4.050000,4.270000,3.970000,4.190000,4.190000,383200
2023-08-14,4.230000,4.295000,4.145000,4.250000,4.250000,542200
2023-08-15,4.240000,4.260000,4.140000,4.150000,4.150000,301500
2023-08-16,3.990000,4.165000,3.990000,4.080000,4.080000,363700
2023-08-17,4.130000,4.210000,4.055000,4.080000,4.080000,490100
2023-08-18,4.020000,4.080000,3.940000,3.980000,3.980000,391100
2023-08-21,3.970000,4.015000,3.800000,3.840000,3.840000,546900
2023-08-22,3.920000,4.030000,3.900000,3.920000,3.920000,296900
2023-08-23,3.940000,4.060000,3.900000,4.010000,4.010000,248900
2023-08-24,3.970000,3.995000,3.840000,3.850000,3.850000,167900
2023-08-25,3.950000,3.950000,3.595000,3.610000,3.610000,201900
2023-08-28,3.660000,3.660000,3.500000,3.600000,3.600000,380600
2023-08-29,3.600000,3.805000,3.550000,3.800000,3.800000,216500
2023-08-30,3.760000,3.865000,3.720000,3.740000,3.740000,269800
2023-08-31,3.760000,3.850000,3.690000,3.700000,3.700000,145100
2023-09-01,3.730000,3.880000,3.700000,3.710000,3.710000,359500
2023-09-05,3.700000,3.750000,3.580000,3.700000,3.700000,281200
2023-09-06,3.690000,3.690000,3.320000,3.400000,3.400000,268000
2023-09-07,3.350000,3.390000,3.195000,3.250000,3.250000,391000
2023-09-08,3.220000,3.220000,3.110000,3.160000,3.160000,294000
2023-09-11,3.170000,3.200000,2.980000,3.000000,3.000000,370700
2023-09-12,3.000000,3.010000,2.850000,2.870000,2.870000,675500
2023-09-13,2.900000,3.040000,2.780000,2.980000,2.980000,553400
2023-09-14,2.990000,3.050000,2.950000,2.970000,2.970000,404700
2023-09-15,2.970000,3.030000,2.690000,2.700000,2.700000,793100
2023-09-18,2.740000,2.740000,2.510000,2.540000,2.540000,546800
2023-09-19,2.580000,2.650000,2.540000,2.590000,2.590000,345900
2023-09-20,2.560000,2.635000,2.500000,2.550000,2.550000,388300
2023-09-21,2.500000,2.560000,2.450000,2.460000,2.460000,379000
2023-09-22,2.550000,2.550000,2.440000,2.460000,2.460000,256200
2023-09-25,2.460000,2.500000,2.410000,2.420000,2.420000,260000
2023-09-26,2.410000,2.440000,2.395000,2.410000,2.410000,302500
2023-09-27,2.420000,2.570000,2.400000,2.550000,2.550000,531100
2023-09-28,2.560000,2.835000,2.560000,2.790000,2.790000,397800
2023-09-29,2.800000,2.940000,2.750000,2.800000,2.800000,235700
2023-10-02,2.770000,2.810000,2.620000,2.650000,2.650000,261800
2023-10-03,2.660000,2.660000,2.500000,2.520000,2.520000,223100
2023-10-04,2.620000,2.620000,2.460000,2.490000,2.490000,174400
2023-10-05,2.500000,2.530000,2.380000,2.430000,2.430000,177100
2023-10-06,2.420000,2.500000,2.380000,2.390000,2.390000,321900
2023-10-09,2.370000,2.450000,2.262000,2.440000,2.440000,297400
2023-10-10,2.470000,2.605000,2.470000,2.580000,2.580000,177900
2023-10-11,2.520000,2.590000,2.455000,2.470000,2.470000,162600
2023-10-12,2.490000,2.490000,2.320000,2.400000,2.400000,292500
2023-10-13,2.400000,2.420000,2.290000,2.330000,2.330000,231900
2023-10-16,2.340000,2.430000,2.290000,2.420000,2.420000,402000
