Date,Open,High,Low,Close,Adj Close,Volume
2023-09-07,4.550000,12.740000,4.100000,6.080000,6.080000,15257000
2023-09-08,5.310000,6.200000,4.620000,4.910000,4.910000,3584900
2023-09-11,4.090000,4.200000,2.980000,3.280000,3.280000,2890000
2023-09-12,2.900000,3.450000,2.831000,3.170000,3.170000,940300
2023-09-13,2.830000,3.030000,2.660000,2.730000,2.730000,551400
2023-09-14,2.540000,2.800000,2.490000,2.590000,2.590000,424500
2023-09-15,2.460000,2.550000,2.270000,2.330000,2.330000,358800
2023-09-18,2.200000,2.290000,2.060000,2.080000,2.080000,454500
2023-09-19,2.110000,2.680000,2.110000,2.450000,2.450000,1754100
2023-09-20,2.410000,3.240000,2.400000,3.000000,3.000000,2424600
2023-09-21,3.130000,4.050000,3.080000,4.050000,4.050000,6111800
2023-09-22,4.320000,4.900000,3.320000,3.700000,3.700000,8285500
2023-09-25,3.440000,3.550000,3.050000,3.260000,3.260000,1070500
2023-09-26,3.070000,3.800000,3.070000,3.760000,3.760000,470400
2023-09-27,3.850000,3.900000,3.110000,3.270000,3.270000,317600
2023-09-28,3.180000,3.310000,2.700000,3.140000,3.140000,534400
2023-09-29,3.320000,3.600000,3.130000,3.130000,3.130000,506100
2023-10-02,3.140000,3.190000,2.700000,2.750000,2.750000,362400
2023-10-03,2.770000,3.200000,2.690000,2.760000,2.760000,135400
2023-10-04,2.800000,2.895000,2.700000,2.700000,2.700000,97500
2023-10-05,2.680000,2.730000,2.470000,2.500000,2.500000,197700
2023-10-06,2.490000,2.530000,2.120000,2.250000,2.250000,164400
2023-10-09,2.260000,2.290000,2.100000,2.140000,2.140000,53800
2023-10-10,2.150000,2.700000,2.110000,2.660000,2.660000,268700
2023-10-11,2.540000,2.630000,2.452000,2.510000,2.510000,230100
2023-10-12,2.240000,2.430000,2.200000,2.320000,2.320000,127400
2023-10-13,2.300000,2.330000,2.200000,2.240000,2.240000,52600
2023-10-16,2.250000,2.300000,2.100000,2.110000,2.110000,111200
2023-10-17,2.110000,2.380000,2.100000,2.350000,2.350000,112300
2023-10-18,2.280000,2.350000,2.080000,2.190000,2.190000,77600
2023-10-19,2.220000,2.290000,2.130000,2.150000,2.150000,32100
2023-10-20,2.120000,2.350000,2.000000,2.250000,2.250000,101300
2023-10-23,2.190000,2.330000,2.000000,2.090000,2.090000,84600
2023-10-24,2.180000,2.240000,2.090000,2.180000,2.180000,39000
2023-10-25,2.150000,2.230000,2.060000,2.110000,2.110000,29600
2023-10-26,2.140000,2.160000,2.020000,2.140000,2.140000,55900
2023-10-27,2.080000,2.150000,2.080000,2.110000,2.110000,24500
2023-10-30,2.160000,2.160000,2.030000,2.040000,2.040000,74000
2023-10-31,2.060000,2.060000,1.840000,2.000000,2.000000,68500
2023-11-01,2.010000,2.110000,1.950000,2.070000,2.070000,128000
2023-11-02,2.020000,2.238000,2.020000,2.210000,2.210000,74600
