Date,Open,High,Low,Close,Adj Close,Volume
2024-03-04,545.880005,551.840027,542.840027,546.539978,546.539978,481400
2024-03-05,548.000000,554.739990,539.130005,549.460022,549.460022,545100
2024-03-06,555.099976,555.099976,543.630005,548.299988,548.299988,457900
2024-03-07,550.140015,554.500000,546.359985,548.320007,548.320007,371900
2024-03-08,549.669983,551.119995,540.119995,540.219971,540.219971,499400
2024-03-11,540.619995,549.219971,538.539978,548.559998,548.559998,626200
2024-03-12,549.130005,556.880005,548.150024,555.570007,555.570007,558200
2024-03-13,559.830017,572.479980,558.330017,567.179993,567.179993,815600
2024-03-14,572.619995,574.760010,561.210022,565.440002,565.440002,1399900
2024-03-15,504.000000,546.580017,502.200012,535.979980,535.979980,2890900
2024-03-18,534.359985,544.359985,525.669983,532.330017,532.330017,1064500
2024-03-19,535.080017,535.080017,524.469971,529.080017,529.080017,811500
2024-03-20,528.630005,532.700012,522.900024,523.960022,523.960022,694700
2024-03-21,523.960022,531.109985,521.239990,523.549988,523.549988,967900
2024-03-22,522.000000,526.580017,515.270020,520.369995,520.369995,1061000
2024-03-25,521.969971,523.539978,505.260010,505.570007,505.570007,773700
2024-03-26,505.660004,514.679993,505.000000,514.340027,514.340027,866700
2024-03-27,515.640015,516.659973,507.019989,513.520020,513.520020,923000
2024-03-28,515.669983,525.770020,513.679993,522.880005,522.880005,804500
2024-04-01,520.840027,529.669983,520.840027,529.010010,529.010010,647000
2024-04-02,527.500000,528.799988,516.460022,519.679993,519.679993,609400
2024-04-03,469.570007,474.119995,438.670013,439.980011,439.980011,4214300
2024-04-04,443.910004,467.489990,443.579987,448.640015,448.640015,2916900
2024-04-05,447.230011,455.399994,441.420013,444.750000,444.750000,1285600
2024-04-08,453.480011,457.750000,450.790009,452.779999,452.779999,967300
2024-04-09,450.100006,455.329987,450.000000,454.799988,454.799988,595000
2024-04-10,449.989990,453.700012,446.230011,450.950012,450.950012,876100
2024-04-11,454.660004,455.079987,446.739990,447.910004,447.910004,450200
2024-04-12,445.549988,448.500000,441.000000,442.320007,442.320007,487200
2024-04-15,444.359985,444.869995,431.679993,433.239990,433.239990,904800
2024-04-16,430.899994,432.459991,422.100006,424.170013,424.170013,1144500
2024-04-17,428.799988,429.920013,423.679993,424.549988,424.549988,947400
2024-04-18,428.820007,428.820007,416.579987,425.109985,425.109985,862500
2024-04-19,413.829987,418.790009,411.000000,413.500000,413.500000,1063400
2024-04-22,417.429993,419.290009,412.640015,417.980011,417.980011,635300
2024-04-23,420.859985,424.850006,417.269989,419.269989,419.269989,692300
2024-04-24,414.630005,417.869995,407.160004,410.549988,410.549988,866400
2024-04-25,409.350006,409.350006,403.130005,408.010010,408.010010,707100
2024-04-26,405.619995,411.350006,402.950012,406.390015,406.390015,637700
2024-04-29,404.859985,410.040009,404.140015,410.040009,410.040009,673800
2024-04-30,410.040009,412.040009,402.000000,404.839996,404.839996,904700
2024-05-01,403.140015,404.510010,398.450012,402.109985,402.109985,575700
2024-05-02,402.519989,405.179993,396.730011,397.329987,397.329987,639800
2024-05-03,402.500000,404.510010,397.279999,397.390015,397.390015,591300
2024-05-06,397.279999,398.660004,392.750000,394.880005,394.880005,909500
2024-05-07,393.500000,398.799988,390.769989,393.670013,393.670013,789000
2024-05-08,393.510010,397.989990,387.230011,388.480011,388.480011,699400
2024-05-09,389.179993,397.140015,388.000000,396.670013,396.670013,602600
2024-05-10,397.000000,402.820007,397.000000,401.589996,401.589996,664600
2024-05-13,404.450012,411.600006,401.320007,403.959991,403.959991,708300
2024-05-14,407.399994,409.589996,401.299988,401.679993,401.679993,665700
2024-05-15,406.309998,407.000000,401.579987,403.410004,403.410004,501000
2024-05-16,401.839996,406.980011,400.600006,401.040009,401.040009,516900
2024-05-17,402.369995,402.369995,396.059998,399.559998,399.559998,533500
2024-05-20,392.660004,394.980011,386.010010,386.500000,386.500000,1016800
2024-05-21,386.510010,388.760010,378.089996,381.829987,381.829987,940900
2024-05-22,383.100006,383.100006,376.910004,378.329987,378.329987,769800
2024-05-23,380.250000,380.799988,376.019989,376.140015,376.140015,850100
2024-05-24,375.329987,383.410004,375.309998,381.779999,381.779999,967800
2024-05-28,381.350006,386.000000,377.690002,381.130005,381.130005,968500
2024-05-29,379.000000,386.459991,377.820007,378.279999,378.279999,1264600
2024-05-30,381.649994,388.890015,380.739990,385.579987,385.579987,2333500
