Date,Open,High,Low,Close,Adj Close,Volume
2019-03-25,10.790000,10.800000,9.850000,10.520000,9.064549,164600
2019-03-26,10.440000,11.250000,10.440000,10.900000,9.391975,231600
2019-03-27,10.940000,11.300000,10.630000,11.160000,9.616004,124700
2019-03-28,11.120000,11.223000,10.720000,10.780000,9.288578,51800
2019-03-29,10.730000,11.410000,10.730000,11.020000,9.495374,122600
2019-04-01,11.030000,11.600000,10.760000,11.270000,9.710787,161900
2019-04-02,11.210000,11.335000,10.810000,10.890000,9.383360,75700
2019-04-03,10.750000,11.060000,10.310000,10.960000,9.443675,286300
2019-04-04,10.760000,11.180000,10.200000,10.290000,8.866370,137800
2019-04-05,10.150000,10.540000,9.640000,10.020000,8.633725,184400
2019-04-08,10.030000,10.190000,9.700000,9.780000,8.426929,84500
2019-04-09,9.750000,9.853000,9.200000,9.450000,8.142585,154000
2019-04-10,9.450000,9.880000,9.428000,9.580000,8.254599,75300
2019-04-11,9.570000,9.790000,9.400000,9.460000,8.151201,74800
2019-04-12,9.430000,9.610000,8.670000,9.130000,7.866857,217300
2019-04-15,9.100000,9.150000,8.740000,8.990000,7.746226,168400
2019-04-16,8.940000,9.049000,8.400000,8.810000,7.591129,146200
2019-04-17,8.790000,8.940000,8.300000,8.660000,7.461882,324300
2019-04-18,8.560000,8.900000,8.500000,8.700000,7.496347,99900
2019-04-22,8.680000,9.160000,8.680000,9.120000,7.858240,74100
2019-04-23,9.120000,9.560000,9.120000,9.410000,8.108118,99700
2019-04-24,9.490000,9.630000,8.980000,9.190000,7.918555,92500
2019-04-25,9.180000,9.690000,9.180000,9.500000,8.185667,106800
2019-04-26,9.480000,9.680000,9.200000,9.500000,8.185667,76600
2019-04-29,9.570000,9.750000,9.210000,9.430000,8.125352,66300
2019-04-30,9.370000,9.490000,8.800000,8.910000,7.677294,70900
2019-05-01,8.910000,8.981000,8.675000,8.750000,7.539430,58900
2019-05-02,8.600000,9.380000,8.575000,9.210000,7.935789,143100
2019-05-03,9.270000,9.405000,8.990000,9.200000,7.927172,65000
2019-05-06,8.940000,9.580000,8.920000,9.190000,7.918555,95000
2019-05-07,9.240000,9.320000,9.020000,9.150000,7.884089,65500
2019-05-08,9.120000,9.580000,9.120000,9.500000,8.185667,81300
2019-05-09,9.390000,9.640000,9.240000,9.330000,8.039186,112300
2019-05-10,9.350000,9.880000,9.350000,9.810000,8.452779,131500
2019-05-13,9.720000,9.960000,9.350000,9.380000,8.082269,287100
2019-05-14,9.400000,9.500000,9.000000,9.250000,7.970255,78400
2019-05-15,9.210000,9.640000,9.110000,9.400000,8.099502,39200
2019-05-16,9.400000,9.490000,9.040000,9.240000,7.961638,45100
2019-05-17,9.240000,9.660000,9.070000,9.080000,7.823774,90900
2019-05-20,9.010000,9.340000,8.580000,8.950000,7.711760,73300
2019-05-21,8.980000,9.310000,8.840000,9.190000,7.918555,46400
2019-05-22,9.190000,9.350000,8.880000,9.060000,7.806542,25500
2019-05-23,9.050000,9.200000,8.580000,8.920000,7.685911,71700
2019-05-24,8.930000,9.170000,8.760000,9.010000,7.763459,27800
2019-05-28,9.010000,9.180000,8.780000,9.060000,7.806542,52300
2019-05-29,9.030000,9.206000,8.770000,8.770000,7.556664,65900
2019-05-30,8.800000,9.130000,8.710000,9.080000,7.823774,34600
2019-05-31,7.930000,8.000000,6.761000,7.200000,6.203874,1008000
2019-06-03,7.490000,7.690000,7.300000,7.540000,6.496835,223200
2019-06-04,7.560000,7.560000,7.030000,7.120000,6.134942,259700
2019-06-05,7.200000,7.350000,7.000000,7.110000,6.126326,503700
2019-06-06,7.190000,7.890000,7.020000,7.640000,6.582999,356000
2019-06-07,7.700000,7.950000,7.520000,7.800000,6.720863,285600
2019-06-10,7.820000,7.820000,7.100000,7.190000,6.195258,309600
2019-06-11,7.410000,7.410000,7.030000,7.100000,6.117709,252100
2019-06-12,7.080000,7.340000,7.040000,7.130000,6.143559,156200
2019-06-13,7.210000,7.360000,6.900000,6.990000,6.022927,121800
2019-06-14,7.240000,7.240000,6.915000,7.150000,6.160791,172400
2019-06-17,7.160000,7.475000,7.100000,7.280000,6.272806,116500
2019-06-18,7.500000,7.670000,7.400000,7.660000,6.600233,159300
2019-06-19,7.560000,7.680000,7.280000,7.400000,6.376204,125300
2019-06-20,7.410000,7.730000,7.250000,7.340000,6.324505,165300
2019-06-21,7.370000,7.620000,7.210000,7.540000,6.496835,310100
2019-06-24,7.560000,7.720000,7.300000,7.350000,6.333121,109800
2019-06-25,7.360000,7.710000,7.210000,7.500000,6.462368,122900
2019-06-26,7.600000,7.600000,7.130000,7.290000,6.281422,148700
2019-06-27,7.300000,7.590000,7.060000,7.450000,6.419286,173400
2019-06-28,7.450000,7.850000,7.250000,7.580000,6.531301,2332400
2019-07-01,7.500000,7.680000,7.400000,7.550000,6.505451,212800
2019-07-02,7.550000,7.680000,7.120000,7.370000,6.350354,162000
2019-07-03,7.380000,8.140000,7.300000,8.040000,6.927659,111900
2019-07-05,8.060000,8.120000,7.580000,7.770000,6.695014,152400
2019-07-08,7.800000,7.840000,7.540000,7.740000,6.669164,79100
2019-07-09,7.780000,7.963000,7.730000,7.830000,6.746713,143000
2019-07-10,7.850000,8.190000,7.390000,7.760000,6.686398,83200
2019-07-11,7.790000,7.860000,7.520000,7.760000,6.686398,95800
2019-07-12,7.740000,7.772000,7.210000,7.290000,6.281422,140400
2019-07-15,7.330000,7.400000,7.040000,7.190000,6.195258,89100
2019-07-16,7.160000,7.420000,7.120000,7.160000,6.169408,51100
2019-07-17,7.200000,7.350000,7.100000,7.220000,6.221107,62300
2019-07-18,7.210000,7.290000,7.120000,7.190000,6.195258,55900
2019-07-19,7.190000,7.270000,7.100000,7.140000,6.152175,71700
